<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NFLX-RM,60,20220119,000000,39440.0000000,39440.0000000,39200.0000000,39200.0000000,29
NFLX-RM,60,20220119,080000,39430.0000000,39430.0000000,39061.0000000,39137.0000000,33
NFLX-RM,60,20220119,090000,39093.0000000,39093.0000000,38780.0000000,38780.0000000,40
NFLX-RM,60,20220119,100000,38885.0000000,39142.0000000,38885.0000000,39142.0000000,43
NFLX-RM,60,20220119,110000,39143.0000000,39180.0000000,39000.0000000,39000.0000000,17
NFLX-RM,60,20220119,120000,38944.0000000,39066.0000000,38944.0000000,39066.0000000,9
NFLX-RM,60,20220119,130000,39117.0000000,39222.0000000,39066.0000000,39152.0000000,36
NFLX-RM,60,20220119,140000,39252.0000000,39252.0000000,39164.0000000,39227.0000000,11
NFLX-RM,60,20220119,150000,39252.0000000,39252.0000000,38881.0000000,38881.0000000,34
NFLX-RM,60,20220119,160000,39000.0000000,39043.0000000,38948.0000000,38985.0000000,17
NFLX-RM,60,20220119,170000,39046.0000000,39300.0000000,39046.0000000,39292.0000000,25
NFLX-RM,60,20220119,180000,39301.0000000,39601.0000000,39200.0000000,39392.0000000,254
NFLX-RM,60,20220119,190000,39392.0000000,39700.0000000,39192.0000000,39197.0000000,154
NFLX-RM,60,20220119,200000,39340.0000000,39340.0000000,39031.0000000,39282.0000000,144
NFLX-RM,60,20220119,210000,39360.0000000,39888.0000000,39360.0000000,39763.0000000,42
NFLX-RM,60,20220119,220000,39763.0000000,39835.0000000,39650.0000000,39669.0000000,75
NFLX-RM,60,20220119,230000,39879.0000000,39879.0000000,39385.0000000,39385.0000000,25
NFLX-RM,60,20220120,000000,39362.0000000,39402.0000000,39259.0000000,39402.0000000,35
NFLX-RM,60,20220120,080000,39477.0000000,39522.0000000,39477.0000000,39521.0000000,14
NFLX-RM,60,20220120,090000,39521.0000000,39521.0000000,39515.0000000,39515.0000000,2
NFLX-RM,60,20220120,100000,39462.0000000,39610.0000000,39433.0000000,39610.0000000,6
NFLX-RM,60,20220120,110000,39574.0000000,39753.0000000,39574.0000000,39743.0000000,14
NFLX-RM,60,20220120,120000,39735.0000000,39965.0000000,39734.0000000,39791.0000000,39
NFLX-RM,60,20220120,130000,39791.0000000,39900.0000000,39726.0000000,39726.0000000,20
NFLX-RM,60,20220120,140000,39781.0000000,39786.0000000,39778.0000000,39786.0000000,5
NFLX-RM,60,20220120,150000,39812.0000000,40029.0000000,39812.0000000,39977.0000000,63
NFLX-RM,60,20220120,160000,39971.0000000,39971.0000000,39882.0000000,39918.0000000,17
NFLX-RM,60,20220120,170000,39952.0000000,39953.0000000,39838.0000000,39932.0000000,50
NFLX-RM,60,20220120,180000,39941.0000000,40200.0000000,39611.0000000,39789.0000000,355
NFLX-RM,60,20220120,190000,39789.0000000,39943.0000000,39650.0000000,39943.0000000,136
NFLX-RM,60,20220120,200000,40073.0000000,40134.0000000,39913.0000000,40074.0000000,81
NFLX-RM,60,20220120,210000,40070.0000000,40224.0000000,39943.0000000,39944.0000000,109
NFLX-RM,60,20220120,220000,39930.0000000,39930.0000000,39599.0000000,39599.0000000,69
NFLX-RM,60,20220120,230000,39574.0000000,39680.0000000,39250.0000000,39297.0000000,66
NFLX-RM,60,20220121,000000,39284.0000000,39360.0000000,39011.0000000,39011.0000000,37
NFLX-RM,60,20220121,080000,35833.0000000,37501.0000000,34915.0000000,35283.0000000,211
NFLX-RM,60,20220121,090000,34915.0000000,35300.0000000,34915.0000000,34915.0000000,198
NFLX-RM,60,20220121,100000,35000.0000000,35089.0000000,34915.0000000,34915.0000000,89
NFLX-RM,60,20220121,110000,34915.0000000,34915.0000000,31512.0000000,31785.0000000,675
NFLX-RM,60,20220121,120000,31772.0000000,31954.0000000,31119.0000000,31119.0000000,1214
NFLX-RM,60,20220121,130000,31121.0000000,31121.0000000,30600.0000000,30870.0000000,1081
NFLX-RM,60,20220121,140000,30934.0000000,31477.0000000,30934.0000000,31250.0000000,441
NFLX-RM,60,20220121,150000,31295.0000000,31624.0000000,31133.0000000,31492.0000000,495
NFLX-RM,60,20220121,160000,31400.0000000,31700.0000000,31067.0000000,31250.0000000,690
NFLX-RM,60,20220121,170000,31262.0000000,31442.0000000,31086.0000000,31180.0000000,550
NFLX-RM,60,20220121,180000,31150.0000000,31375.0000000,29700.0000000,29724.0000000,1833
NFLX-RM,60,20220121,190000,29708.0000000,30477.0000000,29396.0000000,29784.0000000,1393
NFLX-RM,60,20220121,200000,29874.0000000,31202.0000000,29874.0000000,30847.0000000,2280
NFLX-RM,60,20220121,210000,30833.0000000,31550.0000000,30817.0000000,31050.0000000,1083
NFLX-RM,60,20220121,220000,31070.0000000,31203.0000000,30924.0000000,31090.0000000,252
NFLX-RM,60,20220121,230000,31101.0000000,31230.0000000,29805.0000000,30330.0000000,913
NFLX-RM,60,20220122,000000,30330.0000000,30552.0000000,30190.0000000,30290.0000000,119
NFLX-RM,60,20220124,080000,30997.0000000,31743.0000000,30057.0000000,30997.0000000,570
NFLX-RM,60,20220124,090000,30968.0000000,31128.0000000,30914.0000000,31097.0000000,68
NFLX-RM,60,20220124,100000,31106.0000000,31117.0000000,30954.0000000,31031.0000000,76
NFLX-RM,60,20220124,110000,30958.0000000,30986.0000000,30730.0000000,30750.0000000,180
NFLX-RM,60,20220124,120000,30820.0000000,31114.0000000,30803.0000000,30893.0000000,115
NFLX-RM,60,20220124,130000,30906.0000000,31260.0000000,30635.0000000,30700.0000000,339
NFLX-RM,60,20220124,140000,30680.0000000,30745.0000000,30313.0000000,30635.0000000,300
NFLX-RM,60,20220124,150000,30635.0000000,30980.0000000,30628.0000000,30888.0000000,256
NFLX-RM,60,20220124,160000,31011.0000000,31011.0000000,30235.0000000,30235.0000000,378
NFLX-RM,60,20220124,170000,30256.0000000,30390.0000000,29919.0000000,30338.0000000,526
NFLX-RM,60,20220124,180000,30171.0000000,30721.0000000,29279.0000000,29292.0000000,613
NFLX-RM,60,20220124,190000,29244.0000000,29430.0000000,28317.0000000,28882.0000000,400
NFLX-RM,60,20220124,200000,28805.0000000,28805.0000000,27890.0000000,28489.0000000,602
NFLX-RM,60,20220124,210000,28450.0000000,28554.0000000,27931.0000000,28522.0000000,168
NFLX-RM,60,20220124,220000,28477.0000000,29593.0000000,28477.0000000,29533.0000000,295
NFLX-RM,60,20220124,230000,29507.0000000,29697.0000000,28978.0000000,29384.0000000,289
NFLX-RM,60,20220125,000000,29384.0000000,30297.0000000,29370.0000000,30057.0000000,292
NFLX-RM,60,20220125,080000,30004.0000000,30091.0000000,29774.0000000,29812.0000000,68
NFLX-RM,60,20220125,090000,29853.0000000,29878.0000000,29750.0000000,29877.0000000,23
NFLX-RM,60,20220125,100000,29775.0000000,30099.0000000,29750.0000000,30041.0000000,272
NFLX-RM,60,20220125,110000,30004.0000000,30006.0000000,29655.0000000,29850.0000000,193
NFLX-RM,60,20220125,120000,29887.0000000,30102.0000000,29887.0000000,30025.0000000,84
NFLX-RM,60,20220125,130000,30017.0000000,30102.0000000,29818.0000000,30102.0000000,175
NFLX-RM,60,20220125,140000,30104.0000000,30104.0000000,29771.0000000,29771.0000000,36
NFLX-RM,60,20220125,150000,29775.0000000,29972.0000000,29775.0000000,29775.0000000,122
NFLX-RM,60,20220125,160000,29775.0000000,29955.0000000,29588.0000000,29901.0000000,60
NFLX-RM,60,20220125,170000,29920.0000000,29920.0000000,29735.0000000,29870.0000000,101
NFLX-RM,60,20220125,180000,29862.0000000,30539.0000000,29783.0000000,29800.0000000,208
NFLX-RM,60,20220125,190000,29827.0000000,29845.0000000,29354.0000000,29438.0000000,162
NFLX-RM,60,20220125,200000,29448.0000000,29459.0000000,28979.0000000,28994.0000000,206
NFLX-RM,60,20220125,210000,28984.0000000,29350.0000000,28984.0000000,29120.0000000,57
NFLX-RM,60,20220125,220000,29093.0000000,29374.0000000,28984.0000000,29374.0000000,103
NFLX-RM,60,20220125,230000,29375.0000000,29413.0000000,29189.0000000,29356.0000000,92
